কাজ ফুরোলেই পাজি 
ক্যাটরিনা কাইফ ক্যাটরিনার ব্যবহারে যারপরনাই আঘাত পেয়েছিলেন আব্বাস-মস্তান। 'দি ইটালিয়ান জব'এর রিমেক বানাচ্ছিলেন তাঁরা (ছবির নাম 'প্লেয়ার্স'।) ক্যাটরিনাকে সই
করে দীপিকার ডেট পেয়েছিল তারা। 'তামাশা' আর 'পিকু'র শ্যুটিং, 'ফাইন্ডিং ফ্যানি' আর 'হ্যাপি নিউ ইয়ার'এর প্রচার - সব মিলিয়ে একেবারে
ঠাসা শিডিউল ছিল নায়িকার। তার মধ্যে থেকে যদিও বা ডেট বার করলেন, কিন্তু শ্যুটই করলেন না! আরেকবার প্রযোজক রমেশ তৌরানিও
বেজায় চটেছিলেন দীপিকার উপরে। 'রেস টু'এর শ্যুটিং শিডিউলের মাঝখান থেকেই অন্য একটি ছবির শ্যুটিংয়ের জন্য চলে গিয়েছিলেন নায়িকা। প্রযোজক যখন
কথা বলতে গিয়েছিলেন, তাঁকেও নাকি পাত্তা দেননি বিশেষ। অনেক ল্বকবাস্টার বানিয়েছি আমি। ঐশ্বর্যা রাই বচ্চন, ক্যাটরিনা কাইফ, বিদ্যা বালন এবং
করিনা কপূরের মতো নায়িকাদের সঙ্গে কাজ করেছি। কিন্তু এ রকম পরিস্থিতিতে কখনও পড়িনি, বলেছিলেন রমেশ। ছবির পরিচালক-জুটি আব্বাস-মস্তান এবং অন্য
অভিনেতারাও নাকি মোটেই ভালভাবে নেননি ব্যাপারটা। অনুষ্কা শর্মা অনুষ্কার পরিবারের সঙ্গে বলিউডের কোনও সম্পর্ক ছিল না। নিজের চেষ্টায় জায়গা করেছেন
তিনি। নজর কেড়েছিলেন 'রব নে বনা দি জোড়ি' করেই। 'ব্যান্ড বাজা বরাত'এর পর তো রীতিমতো প্রশংসার জোয়ারে ভাসছিলেন! কিন্তু 'পাটিয়ালা
হাউস'এর পরে যা করেছিলেন বলে শোনা যায়, তাকে পেশাদার আচরণ বলা চলে না কোনওমতেই। ছবিতে যথেষ্ট মন দিয়েই কাজ করেছিলেন
অনুষ্কা। কিন্তু প্রচারের জন্য সময় দিচ্ছিলেন না কিছুতেই। প্রযোজক ভুষণ কুমার এবং পরিচালক নিখিল আডবাণী নাকি তাঁর ডেট পেতে হিমশিম
খেয়ে গিয়েছিলেন! তাঁরা যখনই অনুষ্কার সঙ্গে যোগাযোগ করতে চাইতেন, অনুষ্কার ম্যানেজার জানাতেন, তিনি পরে কথা বলবেন! অক্ষয় কুমার অবশ্য মনপ্রাণ
ঢেলেই ছবির প্রচার করছিলেন। কিন্তু নির্মাতারা অনুষ্কার অপেশাদারিত্বে বিরক্ত হয়েছিলেন যারপরনাই। বিবেক ওবেরয় অপেশাদারিত্বের ফলে সঞ্জয় গুপ্তের (ছবি নির্মাতা) মতো
বন্ধুকেও রাগিয়ে দিয়েছিলেন বিবেক। 'শ্যুটআউট অ্যাট লোখন্ডওয়ালা'র মতোই 'শ্যুটআউট অ্যাট ওয়াডালা'তেও প্রথমে বিবেকের অভিনয় করার কথা ছিল। তিনি যে কতটা
খুশি, সংবাদমাধ্যমে সে কথা জানিয়েওছিলেন নায়ক। কিন্তু ছবি-নির্মাতাদের নিজের চূড়ান্ত সিদ্ধান্তটা আর জানাচ্ছিলেন না কিছুতেই। ছবির স্ক্রিপ্টও বহুদিন ধরে নিজের
কাছে রেখে দিয়েছিলেন। শেষমেশ রেগে গিয়ে বিবেককে বাদ দিয়ে দেওয়ার সিদ্ধান্ত নেন সঞ্জয় এবং অন্যতম প্রযোজক একতা কপূর। আমাদের ধৈর্য
শেষ সীমায় গিয়ে পৌঁছেছিল। আর আমি এরকম ব্যবহার মোটেই বরদাস্ত করি না। বিবেককে আর এই ছবিতে দরকার নেই আমাদের। স্ক্রিপ্টও
ফেরত চেয়েছি ওর কাছে, বলেছিলেন সঞ্জয়। পরে অবশ্য বিবেক জানিয়েছিলেন, ডেটের সমস্যার কারণেই ছবিটা করতে পারেননি তিনি। কিন্তু নির্মাতাদের অপেক্ষা
করিয়ে না রাখলেই তো পারতেন! 
